postal_code,city,state,Fri_p0.95,Mon_p0.95,Sat_p0.95,Sun_p0.95,Thu_p0.95,Tue_p0.95,Wed_p0.95,Total P95
02119,Roxbury,MA,16.0,12.0,13.0,13.0,12.0,16.0,12.0,13.0
02129,Boston,MA,16.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0
32830,Lake Buena Vista,FL,17.0,15.3,16.3,16.3,17.0,17.0,17.0,16.3
43140,London,OH,16.0,16.0,16.0,11.0,16.0,16.0,16.0,16.0
97034,Lake Oswego,OR,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0
V5Z 3A3,Vancouver,BC,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
V7V 1H8,West Vancouver,BC,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0
V3H 2B2,Port Moody,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V5V 4B9,Vancouver,BC,11.3,11.3,10.0,10.0,11.3,11.3,11.3,11.3
V5Z 3V6,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6E 1V8,Vancouver,BC,17.3,17.3,17.3,12.0,17.3,17.3,17.3,17.3
V6G 1C9,Vancouver,BC,18.0,16.3,16.3,16.3,16.3,17.0,17.0,16.3
V7M 2H5,North Vancouver,BC,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3
V4C 2S2,Delta,BC,16.0,,16.0,16.0,16.0,16.0,16.0,16.0
V5J 1G3,Burnaby,BC,,,,,,,,
V7J 2A1,North Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V3B 5E2,Coquitlam,BC,12.0,14.0,12.0,12.0,14.0,14.0,14.0,14.0
V5K 5A6,Vancouver,BC,17.3,9.3,17.3,10.0,17.3,17.3,17.3,17.3
V5Y 1J9,Vancouver,BC,9.3,9.3,,,9.3,9.3,9.3,9.3
V6A 0B4,Vancouver,BC,17.0,12.0,12.0,12.0,17.0,17.0,17.0,17.0
V6E 3M1,Vancouver,BC,11.0,11.0,12.0,7.0,11.0,11.0,11.0,12.0
V6P 3J9,Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V5P 3W7,Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V6J 1W5,Vancouver,BC,,,,,,,,
V7M 1H4,North Vancouver,BC,9.0,0.0,10.0,,10.0,10.0,9.0,10.0
V5N 2X8,Vancouver,BC,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
32746,lake mary,FL,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0
43219,COLUMBUS,OH,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
V5J 4X1,Burnaby,BC,8.0,8.0,,,8.0,8.0,8.0,8.0
V3K 3M7,Coquitlam,BC,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
V6X 2K5,Richmond,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V6Z 2C1,Vancouver,BC,,,,,,,,
V7V 1J5,Vancouver,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V4C 5J2,Delta,BC,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
V6S 0B3,Vancouver,BC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
02152,Boston-Winthrop,MA,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V5R 5H7,Vancouver,BC,9.3,9.3,9.3,,9.3,9.3,9.3,9.3
32862,Orlando,FL,9.3,9.3,9.3,12.0,9.3,9.3,9.3,12.0
98660,VANCOUVER,WA,10.0,0.0,10.0,,13.0,10.0,10.0,13.0
V5V 3R1,Vancouver,BC,17.0,17.0,17.0,17.0,17.0,13.0,17.0,17.0
02151,REVERE,MA,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0
V3T 4Y8,Surrey,BC,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0
97720,Portland,OR,7.0,7.0,8.0,9.0,7.0,7.0,7.0,9.0
V3H 5B9,Port Moody,BC,11.3,11.3,11.3,12.0,11.3,11.3,11.3,11.3
V3H 2B6,Port Moody,BC,10.0,,10.0,11.0,10.0,10.0,10.0,11.0
V3L 3V8,Burnaby,BC,8.3,8.3,8.3,,8.3,8.3,8.3,8.3
V6E 3P1,Vancouver,BC,11.0,11.0,10.0,,12.0,12.0,12.0,12.0
V7M 2J1,North Vancouver,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V6A 2S7,Vancouver,BC,11.0,0.0,11.0,12.0,11.0,11.0,11.0,12.0
V6B 2Z3,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V5J 4J2,Burnaby,BC,13.0,13.0,13.0,13.0,15.0,11.3,15.0,15.0
97049,Portland,OR,18.0,,16.0,,18.3,,18.3,18.3
97290,Milwaukie,OR,7.3,7.3,,,7.3,7.3,7.3,7.3
V3V 4B8,Surrey,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V5T 2X7,Vancouver,BC,,8.0,,,,,,8.0
02026,Dedham ,MA,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
V3W 4E9,Surrey,BC,11.0,11.0,11.0,11.3,11.0,11.0,11.0,11.3
V6H 1P1,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V6B 2E2,Vancouver,BC,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
V6T 2E7,Greater Vancouver A,BC,7.0,7.0,9.0,9.0,7.0,7.0,7.0,9.0
V5H 4H3,Burnaby,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V5E 2H7,Burnaby,BC,17.0,17.0,17.0,,17.0,17.0,17.0,17.0
V3K 6T5,Coquitlam,BC,11.0,11.0,11.0,,11.0,11.0,11.0,11.0
02090,Westwood,MA,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0
02493,Weston,MA,11.3,11.0,11.3,11.3,11.3,11.3,11.3,11.3
32720,Deland,FL,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0
78640,Kyle,TX,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
97217,North Portland,OR,,,,,,,,
V5T 1R1,Vancouver,BC,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
