city,state,count
Harrisburg,OH,1
Blacklick,OH,8
Lake City,GA,6
North Reading,MA,18
Deltona,FL,39
Hanover,MA,1
"Portland, OR",OR,1
Casselberry,FL,59
West Roxbury,MA,31
COCOA,FL,1
ChampionsGate,FL,1
St Cloud,FL,4
Boston-Fenway,MA,2
Medford,MA,109
Brice,OH,1
Superior,CO,9
Vancouver,ABE,1
North Vancouver,BC,166
Whitehall,OH,17
Hull,MA,15
Orient,OH,1
TITUSVILLE,FL,1
longwood,FL,1
Randolph,MA,38
Lexington,MA,38
Orange City,FL,43
Marysville,OH,1
Collegepark,GA,1
Millersport,OH,1
Orlando,FL,2330
Windermere,FL,36
Woburn,MA,93
Dunwoody,GA,44
Delaware,OH,45
Roxbury Crossing,MA,11
Winter park,FL,1
Lafayette,CO,15
Brockton,MA,9
Manor,TX,16
Galloway,OH,9
Mableton,GA,10
Carroll,OH,2
Surrey,BC,159
Sunbury,OH,23
PORTLAND,OR,2
Altamonte Sprin,FL,1
Boulder,CO,231
Reynoldsburg,OH,71
Davenport,FL,67
Mims,FL,1
Walpole,MA,13
Sudbury,MA,2
Manchaca,TX,1
Newton Centre,MA,5
Jamestown,CO,2
Nahant,MA,3
Sommerville,MA,1
Reunion,FL,1
Liberty,KY,1
Edgewood,FL,1
Plain City,OH,8
Miami Beach,FL,1
Clarkston,GA,12
Beaverton,OR,234
Arlington,MA,61
Winchester,MA,15
Lougheed,BC,1
Bay Lake,FL,2
Richmond,BC,385
Lake Buena Vista,FL,84
Morrow,GA,4
Belle Isle,FL,2
"Buckhead, Atlanta",GA,1
Beaverton,WA,1
Peabody,MA,94
Gladstone,OR,10
Erie,CO,1
Austin texas,TX,1
Mattapan,MA,14
Holbrook,MA,8
Richmond,VA,1
Newtonville,MA,8
Beecave,TX,1
Buena Ventura Lakes,FL,3
Brighton,MA,65
South Boston,MA,16
Newton Upper Falls,MA,1
London,OH,7
Lee Vista,FL,1
Longwood Fl,FL,1
Lake Oswego,OR,53
DeBary,FL,5
Wekiva Springs,FL,1
Sanford,FL,158
Cocoa,FL,49
St. Cloud,FL,18
Tewksbury,MA,22
Milton,MA,7
Union Park,FL,1
Portland,CA,1
SANFORD,FL,3
Damascus,OR,3
Somerville,MA,234
Waltham,MA,125
