postal_code,city,state,name,max(cool)
02111,Boston,MA,"The Ritz-Carlton, Boston",297
01923,Danvers,MA,Residence Inn Boston North Shore/Danvers,137
32819,Orlando,FL,Hyatt Regency Orlando,128
32830,Orlando,FL,Club Wyndham Bonnet Creek,123
01742,Concord,MA,Residence Inn Boston Concord,119
32821,Orlando,FL,Wyndham Grand Orlando Resort Bonnet Creek,114
02045,Hull,MA,The Beacon Luxury Waterfront Inn,112
97202,Portland,OR,Original Hotcake House,106
32771,Sanford,FL,Comfort Inn & Suites Orlando North,105
97204,Portland,OR,Portland City Grill,100
32763,Orange City,FL,Quality Inn near Blue Spring,100
V7B 0A4,Richmond,BC,Vancouver International Airport - YVR,98
78758,Austin,TX,Archer Hotel Austin,96
02128,Boston,MA,American Airlines,94
32806,Orlando,FL,Bao's Castle,94
97217,Portland,OR,Red Lion Hotel on the River Jantzen Beach,93
32819,Orlando,FL,Embassy Suites by Hilton Orlando International Drive I Drive 360,92
32809,Orlando,FL,Sugar Daddy Bakery and Coffee Company,91
30320,Atlanta,GA,Hartsfield-Jackson Atlanta International Airport - ATL,89
97218,Portland,OR,Portland International Airport - PDX,88
34747,Kissimmee,FL,Comfort Inn Maingate,88
02170,Wollaston,MA,CVS Pharmacy,88
98660,Vancouver,WA,Hilton Vancouver Washington,88
V6E 1Y4,Vancouver,BC,Breka Bakery & Cafe,83
32836,Bay Lake,FL,Disney's Grand Floridian Resort & Spa,80
32812,Orlando,FL,FastPark & Relax,78
02113,Boston,MA,Bova's Bakery,76
02169,Quincy,MA,7-Eleven,76
32757,Mount Dora,FL,Lakeside Inn,76
34747,Celebration,FL,Baymont Inn & Suites,75
80302,Boulder,CO,Embassy Suites by Hilton Boulder,74
32819,Orlando,FL,Wyndham Orlando Resort International Drive,74
02138,Cambridge,MA,Harvard Square,72
02188,Weymouth,MA,McDonald's,69
30320,Atlanta,GA,Delta Airlines,69
02171,Quincy,MA,McDonald's,68
34711,CLERMONT,FL,IHOP,68
V6E 4C2,Vancouver,BC,Burrard Bridge,68
02128,Boston,MA,Logan Airport Terminal C,67
32827,Orlando,FL,Orlando International Airport - MCO,66
30320,Atlanta,GA,Terminal E - Atlanta Airport,66
78704,Austin,TX,Verde Camp,64
02116,Boston,MA,Boston Park Plaza,64
78759,Austin,TX,Hilton Garden Inn Austin NW/Arboretum,64
01701,Framingham,MA,Red Roof Inn Boston - Framingham,62
32829,Orlando,FL,Wawa,62
02128,Boston,MA,Boston Logan International Airport - BOS,61
30320,Atlanta,GA,McDonald's,61
32830,Orlando,FL,Walt Disney World Resort,61
97214,Portland,OR,Eastside Lodge,60
02368,Randolph,MA,McDonald's,60
30080,Smyrna,GA,Silver Comet Trail,60
32819,Orlando,FL,Universal's Cabana Bay Beach Resort,59
34746,Kissimmee,FL,Give Kids The World,59
30313,Atlanta,GA,Embassy Suites by Hilton Atlanta at Centennial Olympic Park,59
30033,Decatur,GA,QuikTrip,58
